subject,trial,stim,picture,response,reactiontime,correct,spaced,stimvalue,feedback,reward,repetition,trialonset
119,56,7,116,1,1.657582147,1,1,2,0,-0.04,4,96.10477785
119,57,6,125,2,1.072735102,1,1,0,0,-0.01,5,102.1096764
119,58,8,111,2,1.14623341,1,1,0,-1,-0.28,4,108.9812201
119,59,8,111,2,1.088949959,1,1,0,0,0.03,5,114.851205
119,60,7,116,1,1.108225251,1,1,2,2,0.47,5,122.5230255
119,61,3,105,1,0.664677488,1,1,1,0,-0.06,6,2.077541201
119,62,6,125,2,0.971357658,1,1,0,0,-0.01,6,8.92382596
119,63,7,116,1,0.951495017,1,1,2,0,-0.09,6,15.52739365
119,64,8,111,2,1.001994525,1,1,0,0,0,6,21.23205685
119,65,3,105,1,0.812080631,1,1,1,1,0.25,7,28.73670598
119,66,7,116,1,0.714407737,1,1,2,2,0.44,7,35.80801614
119,67,8,111,2,0.842924423,1,1,0,0,-0.01,7,42.41222003
119,68,6,125,2,0.915538326,1,1,0,-1,-0.21,7,49.016624
119,69,3,105,1,1.058753462,1,1,1,0,-0.04,8,56.82259105
119,70,7,116,1,0.97741268,1,1,2,2,0.41,8,62.39093529
119,71,6,125,2,1.017821508,1,1,0,0,-0.04,8,68.6615995
119,72,3,105,1,0.89094244,1,1,1,1,0.24,9,75.26563814
119,73,6,125,2,1.025830823,1,1,0,-1,-0.3,9,81.73807961
119,74,8,111,2,1.00727772,1,1,0,-1,-0.22,8,89.24246085
119,75,7,116,1,0.993617421,1,1,2,0,-0.09,9,96.31391888
119,76,3,105,1,0.799414921,1,1,1,1,0.26,10,104.1189687
119,77,8,111,2,0.938135411,1,1,0,0,0.01,9,111.7576021
119,78,6,125,2,0.761160997,1,1,0,0,0.04,10,118.662252
119,79,7,116,1,0.954149087,1,1,2,2,0.44,10,126.3338265
119,80,8,111,2,1.074228957,1,1,0,-1,-0.28,10,131.4348179
309,1,5,102,1,0.546276038,1,1,2,2,0.41,1,2.040561205
309,2,5,102,1,0.535490327,1,1,2,2,0.46,2,9.567794078
309,3,2,105,1,0.960831137,0,1,0,0,-0.29,1,17.391875
309,4,2,105,2,0.470785377,1,1,0,0,0.04,2,22.38177787
309,5,2,105,2,0.601729258,1,1,0,-1,-0.22,3,28.12135064
309,6,5,102,1,0.917957403,1,1,2,2,0.42,3,33.71023447
309,7,5,102,1,0.806881025,1,1,2,0,-0.05,4,39.30102399
309,8,4,122,1,0.987235602,0,1,0,0,-0.21,1,44.89048608
309,9,4,122,2,1.759318876,1,1,0,0,0.01,2,50.77996438
309,10,1,104,1,0.928888417,1,1,1,1,0.24,1,57.5544514
309,11,1,104,1,1.11946969,1,1,1,1,0.24,2,63.14514864
309,12,1,104,1,0.690801309,1,1,1,0,-0.02,3,68.43277371
309,13,4,122,1,1.386717325,0,1,0,0,-0.26,3,73.72180426
309,14,4,122,2,0.743393708,1,1,0,0,0,4,79.74665317
309,15,1,104,1,1.239182925,1,1,1,1,0.21,4,86.51961161
309,16,2,105,2,0.862445739,1,1,0,0,0,4,91.50964281
309,17,1,104,2,1.500840213,0,1,1,1,0,5,98.58422088
309,18,4,122,2,0.887010074,1,1,0,-1,-0.28,5,104.1738986
309,19,5,102,1,0.685384345,1,1,2,2,0.46,5,111.5489289
309,20,2,105,2,0.769065965,1,1,0,-1,-0.24,5,117.1381698
309,21,2,105,2,0.767048521,1,1,0,0,-0.04,6,2.0441549
309,22,3,112,1,0.892613401,1,1,1,1,0.22,1,9.119772702
309,23,4,122,2,1.152635245,1,1,0,0,-0.04,6,16.19512385
309,24,5,102,1,0.645166086,1,1,2,2,0.46,6,22.08408172
309,25,1,104,2,1.397384822,0,1,1,0,0.21,6,29.60976634
309,26,4,122,2,0.699872176,1,1,0,0,-0.03,7,36.3837434
309,27,5,102,1,0.725241179,1,1,2,2,0.45,7,42.55669557
309,28,1,104,2,1.197345724,0,1,1,1,-0.09,7,47.84681087
309,29,2,105,2,1.094713871,1,1,0,0,-0.03,7,54.1698714
309,30,1,104,2,1.291295923,0,1,1,1,-0.09,8,59.15905829
